zipcode,failturerate,gfailturerate,successrate,gsuccessrate,nrestaurants
80301,0.2867,0.2495,0.7133,0.7505,143
80302,0.2133,0.2495,0.7867,0.7505,225
80303,0.2817,0.2495,0.7183,0.7505,74
80304,0.2927,0.2495,0.7073,0.7505,41
80305,0.1538,0.2495,0.8462,0.7505,13
